tox21-esre-bla-p1_summary.csv tox21-nfkb-bla-p1_summary.csv tox21-ror-cho-antagonist-p1_pubchem_summary.csv tox21-rxr-bla-agonist-p1_pubchem_summary.csv tox21-ap1-bla-agonist-p1_pubchem_summary.csv
PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity
144208101,NCGC00258457-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive 144208564,NCGC00258918-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive 170465175,NCGC00167488-08,3,25,,,,inconclusive 144206494,NCGC00181760-01,3,5,,,,inconclusive,inconclusive 144207331,NCGC00257687-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144208105,NCGC00258461-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SV 144208565,NCGC00258919-01,1,0,,,,inactive,inactive,,0,inconclusive 170465183,NCGC00015693-09,3,25,,,,inconclusive 170464958,NCGC00021152-06,3,5,,,,inconclusive,inconclusive 144207332,NCGC00257688-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208106,NCGC00258462-01,1,0,,,,inactive,inactive,,0,active 144208566,NCGC00258920-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465208,NCGC00263579-01,3,25,,,,inconclusive 144206480,NCGC00181755-01,3,5,,,,inconclusive,inconclusive 144207333,NCGC00257689-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Io-li-tec
144208107,NCGC00258463-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208567,NCGC00258921-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465226,NCGC00177980-03,3,25,,,,inconclusive 144209036,NCGC00259387-01,3,5,,,,inconclusive,inconclusive 144207334,NCGC00257690-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208108,NCGC00258464-01,1,0,,,,inactive,inactive,,0,active 144208568,NCGC00258922-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465239,NCGC00253593-01,3,25,,,,inconclusive 144207863,NCGC00258219-01,3,5,,,,inconclusive,active 144207335,NCGC00257691-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208109,NCGC00258465-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive 144208569,NCGC00260670-01,1,0,,,,inactive,inactive,,0,inconclusive 170465265,NCGC00186653-01,3,25,,,,inconclusive 144210550,NCGC00254210-01,3,5,,,,inconclusive,inconclusive 144207336,NCGC00257692-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208111,NCGC00258467-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 144208570,NCGC00258923-01,1,0,,,,inactive,inactive,,0,inconclusive 170465272,NCGC00163157-05,3,25,,,,inconclusive 144211244,NCGC00254829-01,3,5,,,,inconclusive,active 144207337,NCGC00257693-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208112,NCGC00258468-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,TCI 144208571,NCGC00258924-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465297,NCGC00025349-05,3,25,,,,inconclusive 144212024,NCGC00256142-01,3,5,,,,inconclusive,inconclusive 144207338,NCGC00257694-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144208113,NCGC00258469-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208572,NCGC00258925-01,1,0,,,,inactive,inactive,,0,inconclusive 170465308,NCGC00181016-04,3,25,,,,inconclusive 144210538,NCGC00254050-01,3,5,,,,inconclusive,active 144207340,NCGC00257696-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208114,NCGC00258470-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208573,NCGC00258926-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465335,NCGC00016507-05,3,25,,,,inconclusive 144207546,NCGC00257902-01,3,5,,,,inconclusive,active 144207341,NCGC00257697-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208115,NCGC00258471-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208574,NCGC00258927-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 170465336,NCGC00181002-04,3,25,,,,inconclusive 144209608,NCGC00259959-01,3,5,,,,inconclusive,active 144207342,NCGC00257698-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
144208116,NCGC00258472-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208575,NCGC00258928-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient 170465343,NCGC00167430-04,3,25,,,,inconclusive 144211576,NCGC00255933-01,3,5,,,,inconclusive,inconclusive 144207343,NCGC00257699-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208117,NCGC00258473-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 144208576,NCGC00258929-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pfaltz-Bauer 170465351,NCGC00090782-06,3,25,,,,inconclusive 144209993,NCGC00260341-01,3,5,,,,inconclusive,active 144207344,NCGC00257700-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208118,NCGC00258474-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208577,NCGC00258930-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 170465388,NCGC00167490-03,3,25,,,,inconclusive 144211364,NCGC00254949-01,3,5,,,,inconclusive,inconclusive 144207345,NCGC00257701-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144208120,NCGC00258476-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208578,NCGC00258931-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465403,NCGC00263581-01,3,25,,,,inconclusive 144208728,NCGC00259080-01,3,5,,,,inconclusive,active 144207346,NCGC00257702-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144208121,NCGC00258477-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive 144208579,NCGC00258932-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 170465422,NCGC00018258-10,3,25,,,,inconclusive 144213807,NCGC00257298-01,3,5,,,,inconclusive,active 144207347,NCGC00257703-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208122,NCGC00258478-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 144208580,NCGC00258933-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 170465425,NCGC00024928-23,3,25,,,,inconclusive 170466059,NCGC00015774-06,3,5,,,,inconclusive,active 144207348,NCGC00257704-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144208123,NCGC00258479-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208581,NCGC00258934-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 170465440,NCGC00167832-06,3,25,,,,inconclusive 170465363,NCGC00016642-04,3,5,,,,inconclusive,active 144207349,NCGC00257705-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,TCI
144208124,NCGC00258480-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService 144208582,NCGC00258935-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive 170465455,NCGC00253592-01,3,25,,,,inconclusive 144210524,NCGC00254208-01,3,5,,,,inconclusive,active 144207350,NCGC00257706-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208127,NCGC00258483-01,1,0,,,,inactive,inactive,,0,inconclusive 144208583,NCGC00258936-01,1,0,,,,inactive,inactive,,0,inconclusive 170465465,NCGC00344524-01,3,25,,,,inconclusive 170466082,NCGC00178252-05,3,5,,,,inconclusive,inconclusive 144207351,NCGC00257707-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208128,NCGC00258484-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 144208584,NCGC00258937-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465469,NCGC00178879-04,3,25,,,,inconclusive 144212023,NCGC00256048-01,3,5,,,,inconclusive,active 144207352,NCGC00257708-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208129,NCGC00258485-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208585,NCGC00258938-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465473,NCGC00016373-08,3,25,,,,inconclusive 144213397,NCGC00257024-01,3,5,,,,inconclusive,active 144207353,NCGC00257709-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208130,NCGC00258486-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,active 144208586,NCGC00258939-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465481,NCGC00164034-05,3,25,,,,inconclusive 144214029,NCGC00091775-03,3,5,,,,inconclusive,inconclusive 144207354,NCGC00257710-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,LKT
144208131,NCGC00258487-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 144208587,NCGC00258940-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465494,NCGC00091010-03,3,25,,,,inconclusive 144213384,NCGC00257062-01,3,5,,,,inconclusive,inconclusive 144207355,NCGC00257711-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208132,NCGC00258488-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208588,NCGC00258941-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465515,NCGC00018163-10,3,25,,,,inconclusive 144208093,NCGC00258449-01,3,5,,,,inconclusive,active 144207356,NCGC00257712-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208133,NCGC00258489-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 144208589,NCGC00258942-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465523,NCGC00095303-04,3,25,,,,inconclusive 144207224,NCGC00257580-01,3,5,,,,inconclusive,active 144207357,NCGC00257713-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208134,NCGC00258490-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,TCI 144208590,NCGC00258943-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465524,NCGC00091050-09,3,25,,,,inconclusive 170466268,NCGC00160554-02,3,5,,,,inconclusive,inconclusive 144207358,NCGC00257714-01,1,0,,,,inactive,inactive,,0,active
144208135,NCGC00258491-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208591,NCGC00258944-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 170465534,NCGC00159478-04,3,25,,,,inconclusive 144210645,NCGC00254265-01,3,5,,,,inconclusive,active 144207359,NCGC00257715-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144208136,NCGC00258492-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208592,NCGC00258945-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465542,NCGC00159476-09,3,25,,,,inconclusive 170465684,NCGC00164512-02,3,5,,,,inconclusive,inconclusive 144207360,NCGC00257716-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208137,NCGC00258493-01,1,0,,,,inactive,inactive,,0,inactive,,0,inconclusive 144208593,NCGC00258946-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 170465550,NCGC00185743-02,3,25,,,,inconclusive 144207589,NCGC00257945-01,3,5,,,,inconclusive,inconclusive 144207361,NCGC00257717-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144208138,NCGC00258494-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208594,NCGC00258947-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient 170465567,NCGC00159424-04,3,25,,,,inconclusive 251919744,NCGC00356958-01,3,5,,,,inconclusive,inconclusive 144207363,NCGC00257719-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144208139,NCGC00258495-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 144208595,NCGC00258948-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 170465580,NCGC00263529-01,3,25,,,,inconclusive 144208034,NCGC00258390-01,3,5,,,,inconclusive,active 144207364,NCGC00257720-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144208140,NCGC00258496-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208596,NCGC00258949-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 170465587,NCGC00167492-03,3,25,,,,inconclusive 144212914,NCGC00256708-01,3,5,,,,inconclusive,active 144207365,NCGC00257721-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208142,NCGC00260668-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Fisher 144208597,NCGC00258950-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465590,NCGC00319019-01,3,25,,,,inconclusive 144212329,NCGC00255570-01,3,5,,,,inconclusive,inconclusive 144207366,NCGC00257722-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208143,NCGC00258498-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ChromaDex 144208598,NCGC00258951-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 170465593,NCGC00166113-04,3,25,,,,inconclusive 144211874,NCGC00255523-01,3,5,,,,inconclusive,active 144207367,NCGC00257723-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208144,NCGC00258499-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208599,NCGC00258952-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 170465598,NCGC00016064-12,3,25,,,,inconclusive 170465934,NCGC00182081-04,3,5,,,,inconclusive,active 144207368,NCGC00257724-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208145,NCGC00258500-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208601,NCGC00258954-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465613,NCGC00181782-03,3,25,,,,inconclusive 144208211,NCGC00258566-01,3,5,,,,inconclusive,active 144207370,NCGC00257726-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208146,NCGC00258501-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208603,NCGC00258956-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465615,NCGC00253588-01,3,25,,,,inconclusive 144212603,NCGC00255321-01,3,5,,,,inconclusive,active 144207371,NCGC00257727-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208147,NCGC00258502-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 144208604,NCGC00258957-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465629,NCGC00181026-02,3,25,,,,inconclusive 144210589,NCGC00254216-01,3,5,,,,inconclusive,inconclusive 144207372,NCGC00257728-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208148,NCGC00258503-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208605,NCGC00258958-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465643,NCGC00016382-07,3,25,,,,inconclusive 144213108,NCGC00256451-01,3,5,,,,inconclusive,inconclusive 144207373,NCGC00257729-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208150,NCGC00258505-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 144208606,NCGC00258959-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465664,NCGC00091563-12,3,25,,,,inconclusive 144206325,NCGC00181290-01,3,5,,,,inconclusive,active 144207374,NCGC00257730-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208151,NCGC00258506-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208607,NCGC00258960-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465670,NCGC00178831-03,3,25,,,,inconclusive 144211669,NCGC00255839-01,3,5,,,,inconclusive,active 144207375,NCGC00257731-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144208152,NCGC00258507-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208608,NCGC00258961-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465699,NCGC00164493-02,3,25,,,,inconclusive 144207963,NCGC00258319-01,3,5,,,,inconclusive,inconclusive 144207376,NCGC00257732-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144208153,NCGC00258508-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive 144208609,NCGC00258962-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inconclusive,SIGMA 170465704,NCGC00025212-08,3,25,,,,inconclusive 170466554,NCGC00015877-11,3,5,,,,inconclusive,inconclusive 144207377,NCGC00257733-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144208154,NCGC00258509-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208610,NCGC00258963-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient 170465705,NCGC00024379-16,3,25,,,,inconclusive 144210756,NCGC00254502-01,3,5,,,,inconclusive,active 144207378,NCGC00257734-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144208155,NCGC00258510-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive 144208611,NCGC00258964-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 170465709,NCGC00181776-02,3,25,,,,inconclusive 144208363,NCGC00258717-01,3,5,,,,inconclusive,inconclusive 144207379,NCGC00257735-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208156,NCGC00258511-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Alfa 144208612,NCGC00258965-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 170465756,NCGC00167436-02,3,25,,,,inconclusive 144212225,NCGC00255656-01,3,5,,,,inconclusive,inconclusive 144207381,NCGC00257737-01,1,0,,,,inactive,inactive,,0,inconclusive
144208157,NCGC00258512-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208613,NCGC00258966-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 170465785,NCGC00253595-01,3,25,,,,inconclusive 170464748,NCGC00016246-09,3,5,,,,inconclusive,active 144207382,NCGC00257738-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208158,NCGC00258513-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208614,NCGC00258967-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Promy 170465794,NCGC00183046-03,3,25,,,,inconclusive 144213728,NCGC00257485-01,3,5,,,,inconclusive,active 144207383,NCGC00257739-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208160,NCGC00258515-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208615,NCGC00258968-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 170465826,NCGC00018254-08,3,25,,,,inconclusive 170464981,NCGC00179392-03,3,5,,,,inconclusive,inconclusive 144207384,NCGC00257740-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208161,NCGC00258516-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,active 144208616,NCGC00258969-01,1,0,,,,inactive,inactive,,0,inconclusive 170465831,NCGC00016747-07,3,25,,,,inconclusive 170465749,NCGC00163939-02,3,5,,,,inconclusive,active 144207385,NCGC00257741-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208162,NCGC00258517-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208617,NCGC00258970-01,1,0,,,,inactive,inactive,,0,inconclusive 170465875,NCGC00253604-01,3,25,,,,inconclusive 170464755,NCGC00015819-15,3,5,,,,inconclusive,inconclusive 144207387,NCGC00257743-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144208163,NCGC00258518-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Acros 144208618,NCGC00258971-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich 170465884,NCGC00167447-02,3,25,,,,inconclusive 144208786,NCGC00259137-01,3,5,,,,inconclusive,inconclusive 144207388,NCGC00257744-01,1,0,,,,inactive,inactive,,0,inactive,,0,inconclusive
144208164,NCGC00258519-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA 144208619,NCGC00258972-01,1,0,,,,inactive,inactive,,0,inactive,,0,inactive,,0,active 170465888,NCGC00016913-14,3,25,,,,inconclusive 144208199,NCGC00258554-01,3,5,,,,inconclusive,active 144207389,NCGC00257745-01,1,0,,,,inactive,inactive,,0,active
