file,sample,treatment,population,time,clone,total,base_substitution,small_indel,large_deletion,large_insertion,large_amplification,large_substitution,mobile_element_insertion,gene_conversion,inversion,called_bp,total_bp,base_substitution.synonymous,base_substitution.nonsynonymous,base_substitution.nonsense,base_substitution.noncoding,base_substitution.pseudogene,base_substitution.intergenic,mobile_element.IS1,mobile_element.IS150,mobile_element.IS186,mobile_element.IS3,mobile_element.IS4,mobile_element.mediated.IS1,mobile_element.mediated.IS150,mobile_element.mediated.IS186,mobile_element.mediated.IS3
Ara+1.0.to.10000gen.gd,Ara+1,,,,,83,29,6,11,0,4,0,33,0,0,4629812,4629812,1,21,0,0,0,7,0,30,3,0,0,0,8,0,0
Ara+1.0.to.1000gen.gd,Ara+1,,,,,12,6,1,3,0,0,0,2,0,0,4629812,4629812,0,5,0,0,0,1,0,1,1,0,0,0,3,0,0
Ara+1.0.to.15000gen.gd,Ara+1,,,,,103,37,7,14,0,7,0,38,0,0,4629812,4629812,1,25,1,0,0,10,0,35,3,0,0,1,10,0,0
Ara+1.0.to.1500gen.gd,Ara+1,,,,,17,10,1,4,0,0,0,2,0,0,4629812,4629812,0,8,0,0,0,2,0,1,1,0,0,0,3,0,0
Ara+1.0.to.20000gen.gd,Ara+1,,,,,127,43,8,18,0,8,1,49,0,0,4629812,4629812,2,29,1,0,1,10,0,46,3,0,0,2,12,0,0
Ara+1.0.to.2000gen.gd,Ara+1,,,,,30,15,2,6,0,1,0,6,0,0,4629812,4629812,0,12,0,0,0,3,0,5,1,0,0,0,4,0,0
Ara+1.0.to.30000gen.gd,Ara+1,,,,,170,58,12,24,0,8,1,67,0,0,4629812,4629812,4,39,1,0,2,12,2,61,4,0,0,3,16,0,0
Ara+1.0.to.40000gen.gd,Ara+1,,,,,221,76,15,32,0,10,1,86,0,1,4629812,4629812,9,50,2,0,2,13,6,76,4,0,0,6,20,0,0
Ara+1.0.to.50000gen.gd,Ara+1,,,,,265,100,18,37,0,10,1,98,0,1,4629812,4629812,13,64,3,0,2,18,9,84,5,0,0,7,22,0,0
Ara+1.0.to.5000gen.gd,Ara+1,,,,,57,22,4,8,0,2,0,21,0,0,4629812,4629812,0,16,0,0,0,6,0,20,1,0,0,0,6,0,0
Ara+1.0.to.500gen.gd,Ara+1,,,,,7,4,0,2,0,0,0,1,0,0,4629812,4629812,0,3,0,0,0,1,0,0,1,0,0,0,2,0,0
Ara+1.10000gen.gd,Ara+1,,,,,41,10,3,5,0,2,0,21,0,0,4629812,4629812,1,7,0,0,0,2,0,19,2,0,0,0,4,0,0
Ara+1.1000gen.gd,Ara+1,,,,,6,3,1,1,0,0,0,1,0,0,4629812,4629812,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0
Ara+1.15000gen.gd,Ara+1,,,,,51,17,4,7,0,4,0,19,0,0,4629812,4629812,1,10,1,0,0,5,0,18,1,0,0,1,5,0,0
Ara+1.1500gen.gd,Ara+1,,,,,8,6,0,2,0,0,0,0,0,0,4629812,4629812,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0
Ara+1.20000gen.gd,Ara+1,,,,,62,19,5,9,0,2,1,26,0,0,4629812,4629812,2,13,0,0,1,3,0,25,1,0,0,2,5,0,0
Ara+1.2000gen.gd,Ara+1,,,,,13,5,1,2,0,1,0,4,0,0,4629812,4629812,0,4,0,0,0,1,0,4,0,0,0,0,1,0,0
Ara+1.30000gen.gd,Ara+1,,,,,99,33,9,15,0,2,1,39,0,0,4629812,4629812,4,22,0,0,2,5,2,35,2,0,0,3,9,0,0
Ara+1.40000gen.gd,Ara+1,,,,,128,42,11,19,0,4,1,50,0,1,4629812,4629812,8,27,1,0,1,5,5,43,2,0,0,5,11,0,0
Ara+1.50000gen.gd,Ara+1,,,,,122,49,9,17,0,3,1,42,0,1,4629812,4629812,8,30,2,0,1,8,4,36,2,0,0,4,9,0,0
Ara+1.5000gen.gd,Ara+1,,,,,32,8,2,3,0,1,0,18,0,0,4629812,4629812,0,5,0,0,0,3,0,18,0,0,0,0,3,0,0
Ara+1.500gen.gd,Ara+1,,,,,7,4,0,2,0,0,0,1,0,0,4629812,4629812,0,3,0,0,0,1,0,0,1,0,0,0,2,0,0
Ara+2.0.to.10000gen.gd,Ara+2,,,,,38,18,4,6,0,2,0,8,0,0,4629812,4629812,2,11,2,0,0,3,2,2,4,0,0,3,3,0,0
Ara+2.0.to.1000gen.gd,Ara+2,,,,,5,4,0,0,0,0,0,1,0,0,4629812,4629812,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
Ara+2.0.to.15000gen.gd,Ara+2,,,,,51,24,7,9,0,3,0,8,0,0,4629812,4629812,3,14,2,0,0,5,2,2,4,0,0,5,3,0,0
Ara+2.0.to.1500gen.gd,Ara+2,,,,,8,6,0,1,0,0,0,1,0,0,4629812,4629812,1,4,0,0,0,1,1,0,0,0,0,0,1,0,0
Ara+2.0.to.20000gen.gd,Ara+2,,,,,61,30,8,10,0,3,0,10,0,0,4629812,4629812,3,17,2,0,0,8,3,2,5,0,0,5,3,0,0
Ara+2.0.to.2000gen.gd,Ara+2,,,,,14,9,0,2,0,0,0,3,0,0,4629812,4629812,2,5,0,0,0,2,1,1,1,0,0,0,2,0,0
Ara+2.0.to.30000gen.gd,Ara+2,,,,,86,44,10,11,0,4,0,17,0,0,4629812,4629812,5,22,2,0,1,14,5,2,9,1,0,5,3,0,0
Ara+2.0.to.40000gen.gd,Ara+2,,,,,100,53,12,11,0,4,0,20,0,0,4629812,4629812,6,27,3,0,1,16,7,3,9,1,0,5,3,0,0
Ara+2.0.to.50000gen.gd,Ara+2,,,,,115,63,13,13,0,4,0,22,0,0,4629812,4629812,6,33,3,0,1,20,8,4,9,1,0,6,3,0,0
Ara+2.0.to.5000gen.gd,Ara+2,,,,,22,11,2,2,0,1,0,6,0,0,4629812,4629812,2,7,0,0,0,2,2,1,3,0,0,0,2,0,0
Ara+2.0.to.500gen.gd,Ara+2,,,,,2,2,0,0,0,0,0,0,0,0,4629812,4629812,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ara+2.10000gen.gd,Ara+2,,,,,25,12,4,4,0,2,0,3,0,0,4629812,4629812,0,9,2,0,0,1,1,1,1,0,0,3,1,0,0
Ara+2.1000gen.gd,Ara+2,,,,,5,4,0,0,0,0,0,1,0,0,4629812,4629812,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
Ara+2.15000gen.gd,Ara+2,,,,,36,18,6,6,0,3,0,3,0,0,4629812,4629812,1,12,2,0,0,3,1,1,1,0,0,5,1,0,0
Ara+2.1500gen.gd,Ara+2,,,,,8,6,0,1,0,0,0,1,0,0,4629812,4629812,1,4,0,0,0,1,1,0,0,0,0,0,1,0,0
Ara+2.20000gen.gd,Ara+2,,,,,39,20,6,6,0,2,0,5,0,0,4629812,4629812,0,13,2,0,0,5,2,1,2,0,0,4,1,0,0
Ara+2.2000gen.gd,Ara+2,,,,,10,6,0,1,0,0,0,3,0,0,4629812,4629812,1,4,0,0,0,1,1,1,1,0,0,0,1,0,0
Ara+2.30000gen.gd,Ara+2,,,,,57,29,8,7,0,3,0,10,0,0,4629812,4629812,2,16,2,0,1,8,3,1,5,1,0,4,1,0,0
Ara+2.40000gen.gd,Ara+2,,,,,59,32,9,6,0,2,0,10,0,0,4629812,4629812,1,20,3,0,0,8,5,2,3,0,0,4,1,0,0
Ara+2.50000gen.gd,Ara+2,,,,,68,38,10,8,0,2,0,10,0,0,4629812,4629812,0,23,3,0,0,12,4,3,3,0,0,5,1,0,0
Ara+2.5000gen.gd,Ara+2,,,,,12,5,2,0,0,1,0,4,0,0,4629812,4629812,0,5,0,0,0,0,2,0,2,0,0,0,0,0,0
Ara+2.500gen.gd,Ara+2,,,,,2,2,0,0,0,0,0,0,0,0,4629812,4629812,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ara+3.0.to.10000gen.gd,Ara+3,,,,,580,466,95,10,0,0,0,9,0,0,4629812,4629812,139,271,5,0,7,44,0,8,0,0,1,1,4,0,0
Ara+3.0.to.1000gen.gd,Ara+3,,,,,10,4,3,2,0,0,0,1,0,0,4629812,4629812,0,4,0,0,0,0,0,1,0,0,0,0,2,0,0
Ara+3.0.to.15000gen.gd,Ara+3,,,,,1123,895,206,11,0,1,0,10,0,0,4629812,4629812,275,495,14,0,16,95,0,8,1,0,1,1,4,0,0
Ara+3.0.to.1500gen.gd,Ara+3,,,,,15,7,3,2,0,0,0,3,0,0,4629812,4629812,0,6,0,0,0,1,0,2,0,0,1,0,2,0,0
Ara+3.0.to.20000gen.gd,Ara+3,,,,,1494,1202,270,11,0,1,0,10,0,0,4629812,4629812,371,672,21,0,18,120,0,8,1,0,1,1,4,0,0
Ara+3.0.to.2000gen.gd,Ara+3,,,,,24,11,3,4,0,0,0,6,0,0,4629812,4629812,0,10,0,0,0,1,0,5,0,0,1,0,3,0,0
Ara+3.0.to.30000gen.gd,Ara+3,,,,,2139,1735,377,14,0,1,0,12,0,0,4629812,4629812,540,972,29,0,24,170,0,8,3,0,1,2,4,0,1
Ara+3.0.to.40000gen.gd,Ara+3,,,,,2737,2200,508,15,0,1,0,13,0,0,4629812,4629812,684,1232,40,0,28,216,0,8,3,0,2,2,4,0,1
Ara+3.0.to.50000gen.gd,Ara+3,,,,,3398,2743,621,18,0,1,0,15,0,0,4629812,4629812,849,1531,51,0,35,277,2,8,3,0,2,2,4,0,1
Ara+3.0.to.5000gen.gd,Ara+3,,,,,215,155,47,6,0,0,0,7,0,0,4629812,4629812,38,97,2,0,3,15,0,6,0,0,1,0,4,0,0
Ara+3.0.to.500gen.gd,Ara+3,,,,,5,2,2,0,0,0,0,1,0,0,4629812,4629812,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
Ara+3.10000gen.gd,Ara+3,,,,,465,388,69,5,0,0,0,3,0,0,4629812,4629812,116,226,4,0,5,37,0,3,0,0,0,1,1,0,0
Ara+3.1000gen.gd,Ara+3,,,,,5,2,1,2,0,0,0,0,0,0,4629812,4629812,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Ara+3.15000gen.gd,Ara+3,,,,,701,556,139,3,0,1,0,2,0,0,4629812,4629812,163,309,11,0,10,63,0,1,1,0,0,0,1,0,0
Ara+3.1500gen.gd,Ara+3,,,,,9,5,1,1,0,0,0,2,0,0,4629812,4629812,0,4,0,0,0,1,0,1,0,0,1,0,1,0,0
Ara+3.20000gen.gd,Ara+3,,,,,968,806,159,2,0,0,0,1,0,0,4629812,4629812,241,454,17,0,12,82,0,1,0,0,0,0,1,0,0
Ara+3.2000gen.gd,Ara+3,,,,,14,6,1,3,0,0,0,4,0,0,4629812,4629812,0,6,0,0,0,0,0,3,0,0,1,0,2,0,0
Ara+3.30000gen.gd,Ara+3,,,,,1252,1040,204,5,0,0,0,3,0,0,4629812,4629812,317,581,18,0,16,108,0,1,2,0,0,1,1,0,1
Ara+3.40000gen.gd,Ara+3,,,,,1655,1358,288,5,0,0,0,4,0,0,4629812,4629812,418,757,26,0,19,138,0,1,2,0,1,1,1,0,0
Ara+3.50000gen.gd,Ara+3,,,,,2068,1717,338,7,0,0,0,6,0,0,4629812,4629812,527,957,31,0,24,178,2,1,2,0,1,1,1,0,0
Ara+3.5000gen.gd,Ara+3,,,,,194,146,45,2,0,0,0,1,0,0,4629812,4629812,38,89,2,0,3,14,0,1,0,0,0,0,1,0,0
Ara+3.500gen.gd,Ara+3,,,,,5,2,2,0,0,0,0,1,0,0,4629812,4629812,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
Ara+4.0.to.10000gen.gd,Ara+4,,,,,48,33,7,3,0,2,0,3,0,0,4629812,4629812,4,21,1,0,1,6,1,1,0,0,1,1,2,0,0
Ara+4.0.to.1000gen.gd,Ara+4,,,,,6,3,1,1,0,1,0,0,0,0,4629812,4629812,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0
Ara+4.0.to.15000gen.gd,Ara+4,,,,,55,36,8,5,0,2,0,4,0,0,4629812,4629812,4,22,1,0,1,8,1,2,0,0,1,1,2,0,0
Ara+4.0.to.1500gen.gd,Ara+4,,,,,17,14,1,1,0,1,0,0,0,0,4629812,4629812,3,7,0,0,1,3,0,0,0,0,0,0,1,0,0
Ara+4.0.to.20000gen.gd,Ara+4,,,,,70,45,8,8,0,2,0,7,0,0,4629812,4629812,5,28,1,0,1,10,3,3,0,0,1,2,2,0,0
Ara+4.0.to.2000gen.gd,Ara+4,,,,,24,18,2,2,0,1,0,1,0,0,4629812,4629812,4,9,1,0,1,3,0,1,0,0,0,0,2,0,0
Ara+4.0.to.30000gen.gd,Ara+4,,,,,82,52,9,9,0,4,0,8,0,0,4629812,4629812,6,31,1,0,1,13,3,4,0,0,1,2,2,0,0
Ara+4.0.to.40000gen.gd,Ara+4,,,,,98,61,10,10,0,4,0,13,0,0,4629812,4629812,8,35,2,0,1,15,6,4,0,0,3,3,2,0,0
Ara+4.0.to.50000gen.gd,Ara+4,,,,,116,71,13,12,0,5,0,15,0,0,4629812,4629812,8,39,2,0,1,21,7,4,1,0,3,4,2,0,0
Ara+4.0.to.5000gen.gd,Ara+4,,,,,32,24,3,2,0,1,0,2,0,0,4629812,4629812,4,13,1,0,1,5,1,1,0,0,0,0,2,0,0
Ara+4.0.to.500gen.gd,Ara+4,,,,,4,2,1,0,0,1,0,0,0,0,4629812,4629812,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ara+4.10000gen.gd,Ara+4,,,,,21,12,5,2,0,1,0,1,0,0,4629812,4629812,0,11,0,0,0,1,0,0,0,0,1,1,1,0,0
Ara+4.1000gen.gd,Ara+4,,,,,4,2,1,1,0,0,0,0,0,0,4629812,4629812,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Ara+4.15000gen.gd,Ara+4,,,,,28,15,6,4,0,1,0,2,0,0,4629812,4629812,0,12,0,0,0,3,0,1,0,0,1,1,1,0,0
Ara+4.1500gen.gd,Ara+4,,,,,14,12,1,1,0,0,0,0,0,0,4629812,4629812,3,6,0,0,1,2,0,0,0,0,0,0,1,0,0
Ara+4.20000gen.gd,Ara+4,,,,,42,23,6,7,0,1,0,5,0,0,4629812,4629812,1,18,0,0,0,4,2,2,0,0,1,2,1,0,0
Ara+4.2000gen.gd,Ara+4,,,,,12,7,2,2,0,0,0,1,0,0,4629812,4629812,2,4,1,0,0,0,0,1,0,0,0,0,2,0,0
Ara+4.30000gen.gd,Ara+4,,,,,46,26,7,7,0,3,0,3,0,0,4629812,4629812,2,17,0,0,0,7,0,2,0,0,1,2,1,0,0
Ara+4.40000gen.gd,Ara+4,,,,,57,33,8,7,0,1,0,8,0,0,4629812,4629812,3,20,1,0,0,9,3,2,0,0,3,3,1,0,0
Ara+4.50000gen.gd,Ara+4,,,,,70,41,11,9,0,2,0,7,0,0,4629812,4629812,2,23,1,0,0,15,2,2,1,0,2,4,1,0,0
Ara+4.5000gen.gd,Ara+4,,,,,11,7,2,1,0,0,0,1,0,0,4629812,4629812,0,5,0,0,0,2,1,0,0,0,0,0,1,0,0
Ara+4.500gen.gd,Ara+4,,,,,4,2,1,0,0,1,0,0,0,0,4629812,4629812,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ara+5.0.to.10000gen.gd,Ara+5,,,,,41,25,2,6,0,1,0,7,0,0,4629812,4629812,0,19,0,0,0,6,1,6,0,0,0,0,6,0,0
Ara+5.0.to.1000gen.gd,Ara+5,,,,,10,6,1,2,0,0,0,1,0,0,4629812,4629812,0,5,0,0,0,1,0,1,0,0,0,0,2,0,0
Ara+5.0.to.15000gen.gd,Ara+5,,,,,63,36,4,8,0,3,0,12,0,0,4629812,4629812,3,26,0,0,0,7,2,10,0,0,0,2,6,0,0
Ara+5.0.to.1500gen.gd,Ara+5,,,,,16,9,1,3,0,0,0,3,0,0,4629812,4629812,0,7,0,0,0,2,1,2,0,0,0,0,3,0,0
Ara+5.0.to.20000gen.gd,Ara+5,,,,,82,46,6,12,0,3,0,15,0,0,4629812,4629812,6,31,0,0,0,9,2,12,1,0,0,3,6,0,0
Ara+5.0.to.2000gen.gd,Ara+5,,,,,18,10,2,3,0,0,0,3,0,0,4629812,4629812,0,8,0,0,0,2,1,2,0,0,0,0,3,0,0
Ara+5.0.to.30000gen.gd,Ara+5,,,,,103,56,9,15,0,5,0,18,0,0,4629812,4629812,6,39,1,0,0,10,2,14,2,0,0,5,7,0,0
Ara+5.0.to.40000gen.gd,Ara+5,,,,,121,66,11,16,0,5,0,23,0,0,4629812,4629812,8,44,2,0,0,12,4,15,4,0,0,6,7,0,0
Ara+5.0.to.50000gen.gd,Ara+5,,,,,136,75,14,17,0,5,0,25,0,0,4629812,4629812,9,50,2,0,0,14,4,17,4,0,0,7,7,0,0
Ara+5.0.to.5000gen.gd,Ara+5,,,,,31,17,2,5,0,0,0,7,0,0,4629812,4629812,0,15,0,0,0,2,1,6,0,0,0,0,5,0,0
Ara+5.0.to.500gen.gd,Ara+5,,,,,3,2,0,0,0,0,0,1,0,0,4629812,4629812,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
Ara+5.10000gen.gd,Ara+5,,,,,22,17,0,2,0,1,0,2,0,0,4629812,4629812,0,13,0,0,0,4,0,2,0,0,0,0,2,0,0
Ara+5.1000gen.gd,Ara+5,,,,,8,5,1,2,0,0,0,0,0,0,4629812,4629812,0,4,0,0,0,1,0,0,0,0,0,0,2,0,0
Ara+5.15000gen.gd,Ara+5,,,,,34,20,2,3,0,2,0,7,0,0,4629812,4629812,3,16,0,0,0,1,1,6,0,0,0,2,1,0,0
Ara+5.1500gen.gd,Ara+5,,,,,9,6,0,1,0,0,0,2,0,0,4629812,4629812,0,5,0,0,0,1,1,1,0,0,0,0,1,0,0
Ara+5.20000gen.gd,Ara+5,,,,,33,20,2,5,0,1,0,5,0,0,4629812,4629812,3,14,0,0,0,3,0,4,1,0,0,1,1,0,0
Ara+5.2000gen.gd,Ara+5,,,,,7,4,1,1,0,0,0,1,0,0,4629812,4629812,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0
Ara+5.30000gen.gd,Ara+5,,,,,51,28,4,5,0,4,0,10,0,0,4629812,4629812,2,23,1,0,0,2,1,8,1,0,0,4,2,0,0
Ara+5.40000gen.gd,Ara+5,,,,,67,37,6,6,0,3,0,15,0,0,4629812,4629812,4,27,2,0,0,4,3,9,3,0,0,5,2,0,0
Ara+5.50000gen.gd,Ara+5,,,,,80,45,9,6,0,3,0,17,0,0,4629812,4629812,5,32,2,0,0,6,3,11,3,0,0,5,2,0,0
Ara+5.5000gen.gd,Ara+5,,,,,15,9,0,2,0,0,0,4,0,0,4629812,4629812,0,9,0,0,0,0,0,4,0,0,0,0,2,0,0
Ara+5.500gen.gd,Ara+5,,,,,3,2,0,0,0,0,0,1,0,0,4629812,4629812,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
Ara+6.0.to.10000gen.gd,Ara+6,,,,,953,941,3,7,0,0,0,2,0,0,4629812,4629812,102,693,12,0,10,124,0,1,1,0,0,0,5,0,0
Ara+6.0.to.1000gen.gd,Ara+6,,,,,6,4,0,2,0,0,0,0,0,0,4629812,4629812,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0
Ara+6.0.to.15000gen.gd,Ara+6,,,,,1478,1463,3,8,0,0,0,4,0,0,4629812,4629812,164,1051,25,0,16,207,2,1,1,0,0,1,5,0,0
Ara+6.0.to.1500gen.gd,Ara+6,,,,,12,8,0,4,0,0,0,0,0,0,4629812,4629812,0,7,0,0,0,1,0,0,0,0,0,0,3,0,0
Ara+6.0.to.20000gen.gd,Ara+6,,,,,2059,2042,4,8,0,0,0,5,0,0,4629812,4629812,231,1476,36,0,25,274,2,2,1,0,0,1,5,0,0
Ara+6.0.to.2000gen.gd,Ara+6,,,,,14,9,0,5,0,0,0,0,0,0,4629812,4629812,0,7,0,0,0,2,0,0,0,0,0,0,4,0,0
Ara+6.0.to.30000gen.gd,Ara+6,,,,,3035,3013,4,11,0,0,0,7,0,0,4629812,4629812,337,2180,53,1,39,403,4,2,1,0,0,1,5,0,0
Ara+6.0.to.40000gen.gd,Ara+6,,,,,3927,3896,6,15,0,0,0,10,0,0,4629812,4629812,450,2796,74,1,54,521,5,4,1,0,0,3,5,0,1
Ara+6.0.to.50000gen.gd,Ara+6,,,,,4753,4714,8,17,0,0,0,14,0,0,4629812,4629812,552,3356,88,1,70,647,9,4,1,0,0,4,6,0,1
Ara+6.0.to.5000gen.gd,Ara+6,,,,,21,13,1,7,0,0,0,0,0,0,4629812,4629812,0,9,0,0,0,4,0,0,0,0,0,0,5,0,0
Ara+6.0.to.500gen.gd,Ara+6,,,,,3,2,0,1,0,0,0,0,0,0,4629812,4629812,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Ara+6.10000gen.gd,Ara+6,,,,,938,932,3,1,0,0,0,2,0,0,4629812,4629812,102,688,12,0,10,120,0,1,1,0,0,0,1,0,0
Ara+6.1000gen.gd,Ara+6,,,,,5,4,0,1,0,0,0,0,0,0,4629812,4629812,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0
Ara+6.15000gen.gd,Ara+6,,,,,1050,1042,2,2,0,0,0,4,0,0,4629812,4629812,123,741,21,0,12,145,2,1,1,0,0,1,1,0,0
Ara+6.1500gen.gd,Ara+6,,,,,8,6,0,2,0,0,0,0,0,0,4629812,4629812,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0
Ara+6.20000gen.gd,Ara+6,,,,,1516,1508,3,2,0,0,0,3,0,0,4629812,4629812,177,1088,30,0,21,192,0,2,1,0,0,1,1,0,0
