file,sample,treatment,population,time,clone,total,base_substitution,small_indel,large_deletion,large_insertion,large_amplification,large_substitution,mobile_element_insertion,gene_conversion,inversion,changed_bp,deleted_bp,inserted_bp,called_bp,total_bp,base_substitution.synonymous,base_substitution.nonsynonymous,base_substitution.nonsense,base_substitution.noncoding,base_substitution.pseudogene,base_substitution.intergenic,mobile_element.IS1,mobile_element.IS150,mobile_element.IS186,mobile_element.IS3,mobile_element.IS4,mobile_element.mediated.IS1,mobile_element.mediated.IS150,mobile_element.mediated.IS186,mobile_element.mediated.IS3,POSSIBLE.INTERGENIC.AT.GC,POSSIBLE.INTERGENIC.AT.CG,POSSIBLE.INTERGENIC.AT.TA,POSSIBLE.INTERGENIC.CG.TA,POSSIBLE.INTERGENIC.CG.AT,POSSIBLE.INTERGENIC.CG.GC,POSSIBLE.INTERGENIC.TOTAL,POSSIBLE.NONCODING.AT.GC,POSSIBLE.NONCODING.AT.CG,POSSIBLE.NONCODING.AT.TA,POSSIBLE.NONCODING.CG.TA,POSSIBLE.NONCODING.CG.AT,POSSIBLE.NONCODING.CG.GC,POSSIBLE.NONCODING.TOTAL,POSSIBLE.PSEUDOGENE.AT.GC,POSSIBLE.PSEUDOGENE.AT.CG,POSSIBLE.PSEUDOGENE.AT.TA,POSSIBLE.PSEUDOGENE.CG.TA,POSSIBLE.PSEUDOGENE.CG.AT,POSSIBLE.PSEUDOGENE.CG.GC,POSSIBLE.PSEUDOGENE.TOTAL,POSSIBLE.SYNONYMOUS.AT.GC,POSSIBLE.SYNONYMOUS.AT.CG,POSSIBLE.SYNONYMOUS.AT.TA,POSSIBLE.SYNONYMOUS.CG.TA,POSSIBLE.SYNONYMOUS.CG.AT,POSSIBLE.SYNONYMOUS.CG.GC,POSSIBLE.SYNONYMOUS.TOTAL,POSSIBLE.NONSYNONYMOUS.AT.GC,POSSIBLE.NONSYNONYMOUS.AT.CG,POSSIBLE.NONSYNONYMOUS.AT.TA,POSSIBLE.NONSYNONYMOUS.CG.TA,POSSIBLE.NONSYNONYMOUS.CG.AT,POSSIBLE.NONSYNONYMOUS.CG.GC,POSSIBLE.NONSYNONYMOUS.TOTAL,POSSIBLE.NONSENSE.AT.GC,POSSIBLE.NONSENSE.AT.CG,POSSIBLE.NONSENSE.AT.TA,POSSIBLE.NONSENSE.CG.TA,POSSIBLE.NONSENSE.CG.AT,POSSIBLE.NONSENSE.CG.GC,POSSIBLE.NONSENSE.TOTAL,POSSIBLE.TOTAL.AT.GC,POSSIBLE.TOTAL.AT.CG,POSSIBLE.TOTAL.AT.TA,POSSIBLE.TOTAL.CG.TA,POSSIBLE.TOTAL.CG.AT,POSSIBLE.TOTAL.CG.GC,POSSIBLE.TOTAL.TOTAL,OBSERVED.INTERGENIC.AT.GC,OBSERVED.INTERGENIC.AT.CG,OBSERVED.INTERGENIC.AT.TA,OBSERVED.INTERGENIC.CG.TA,OBSERVED.INTERGENIC.CG.AT,OBSERVED.INTERGENIC.CG.GC,OBSERVED.INTERGENIC.TOTAL,OBSERVED.NONCODING.AT.GC,OBSERVED.NONCODING.AT.CG,OBSERVED.NONCODING.AT.TA,OBSERVED.NONCODING.CG.TA,OBSERVED.NONCODING.CG.AT,OBSERVED.NONCODING.CG.GC,OBSERVED.NONCODING.TOTAL,OBSERVED.PSEUDOGENE.AT.GC,OBSERVED.PSEUDOGENE.AT.CG,OBSERVED.PSEUDOGENE.AT.TA,OBSERVED.PSEUDOGENE.CG.TA,OBSERVED.PSEUDOGENE.CG.AT,OBSERVED.PSEUDOGENE.CG.GC,OBSERVED.PSEUDOGENE.TOTAL,OBSERVED.SYNONYMOUS.AT.GC,OBSERVED.SYNONYMOUS.AT.CG,OBSERVED.SYNONYMOUS.AT.TA,OBSERVED.SYNONYMOUS.CG.TA,OBSERVED.SYNONYMOUS.CG.AT,OBSERVED.SYNONYMOUS.CG.GC,OBSERVED.SYNONYMOUS.TOTAL,OBSERVED.NONSYNONYMOUS.AT.GC,OBSERVED.NONSYNONYMOUS.AT.CG,OBSERVED.NONSYNONYMOUS.AT.TA,OBSERVED.NONSYNONYMOUS.CG.TA,OBSERVED.NONSYNONYMOUS.CG.AT,OBSERVED.NONSYNONYMOUS.CG.GC,OBSERVED.NONSYNONYMOUS.TOTAL,OBSERVED.NONSENSE.AT.GC,OBSERVED.NONSENSE.AT.CG,OBSERVED.NONSENSE.AT.TA,OBSERVED.NONSENSE.CG.TA,OBSERVED.NONSENSE.CG.AT,OBSERVED.NONSENSE.CG.GC,OBSERVED.NONSENSE.TOTAL,OBSERVED.TOTAL.AT.GC,OBSERVED.TOTAL.AT.CG,OBSERVED.TOTAL.AT.TA,OBSERVED.TOTAL.CG.TA,OBSERVED.TOTAL.CG.AT,OBSERVED.TOTAL.CG.GC,OBSERVED.TOTAL.TOTAL
Ara+1_10000gen_4530A.gd,Ara+1_10000gen_4530A,LTEE,Ara+1,10000,A,38,10,6,5,0,1,0,16,0,0,10,61166,84344,4465410,4629812,1,7,0,0,0,2,0,15,1,0,0,0,4,0,0,283078,283078,283078,200334,200334,200334,1450236,980,980,980,1205,1205,1205,6555,30249,30249,30249,28535,28535,28535,176352,611026,252955,289186,751754,461720,417744,2784385,1276787,1595545,1474734,1179428,1440871,1590353,8557718,0,39313,123893,102034,130625,25119,420984,2202120,2202120,2202120,2263290,2263290,2263290,13396230,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,2,2,0,7,0,0,0,0,0,0,0,2,3,0,3,2,0,10
Ara+1_10000gen_4530B.gd,Ara+1_10000gen_4530B,LTEE,Ara+1,10000,B,36,8,5,4,0,1,0,18,0,0,8,51981,89050,4465410,4629812,1,5,0,0,0,2,0,16,2,0,0,0,3,0,0,283078,283078,283078,200334,200334,200334,1450236,980,980,980,1205,1205,1205,6555,30249,30249,30249,28535,28535,28535,176352,611026,252955,289186,751754,461720,417744,2784385,1276787,1595545,1474734,1179428,1440871,1590353,8557718,0,39313,123893,102034,130625,25119,420984,2202120,2202120,2202120,2263290,2263290,2263290,13396230,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,2,0,5,0,0,0,0,0,0,0,2,3,0,1,2,0,8
Ara+1_15000gen_7183A.gd,Ara+1_15000gen_7183A,LTEE,Ara+1,15000,A,53,16,8,7,0,3,0,19,0,0,16,69417,191760,4465410,4629812,1,10,0,0,0,5,0,18,1,0,0,1,5,0,0,283078,283078,283078,200334,200334,200334,1450236,980,980,980,1205,1205,1205,6555,30249,30249,30249,28535,28535,28535,176352,611026,252955,289186,751754,461720,417744,2784385,1276787,1595545,1474734,1179428,1440871,1590353,8557718,0,39313,123893,102034,130625,25119,420984,2202120,2202120,2202120,2263290,2263290,2263290,13396230,1,1,1,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,4,2,0,10,0,0,0,0,0,0,0,2,5,1,5,3,0,16
Ara+1_15000gen_7183B.gd,Ara+1_15000gen_7183B,LTEE,Ara+1,15000,B,53,17,9,7,0,2,0,18,0,0,17,69417,241449,4465410,4629812,1,9,1,0,0,6,0,17,1,0,0,1,5,0,0,283078,283078,283078,200334,200334,200334,1450236,980,980,980,1205,1205,1205,6555,30249,30249,30249,28535,28535,28535,176352,611026,252955,289186,751754,461720,417744,2784385,1276787,1595545,1474734,1179428,1440871,1590353,8557718,0,39313,123893,102034,130625,25119,420984,2202120,2202120,2202120,2263290,2263290,2263290,13396230,1,1,1,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,3,2,0,9,0,0,0,1,0,0,1,2,5,1,6,3,0,17
Ara+1_20000gen_9282A.gd,Ara+1_20000gen_9282A,LTEE,Ara+1,20000,A,62,17,11,8,0,2,0,24,0,0,17,89032,251907,4465410,4629812,1,12,0,0,0,4,0,23,1,0,0,2,5,0,0,283078,283078,283078,200334,200334,200334,1450236,980,980,980,1205,1205,1205,6555,30249,30249,30249,28535,28535,28535,176352,611026,252955,289186,751754,461720,417744,2784385,1276787,1595545,1474734,1179428,1440871,1590353,8557718,0,39313,123893,102034,130625,25119,420984,2202120,2202120,2202120,2263290,2263290,2263290,13396230,1,1,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,0,3,4,0,12,0,0,0,0,0,0,0,2,6,0,4,5,0,17
Ara+1_20000gen_9282B.gd,Ara+1_20000gen_9282B,LTEE,Ara+1,20000,B,62,19,10,9,0,2,1,21,0,0,25,155540,247568,4465410,4629812,2,12,0,0,1,4,0,20,1,0,0,2,5,0,0,283078,283078,283078,200334,200334,200334,1450236,980,980,980,1205,1205,1205,6555,30249,30249,30249,28535,28535,28535,176352,611026,252955,289186,751754,461720,417744,2784385,1276787,1595545,1474734,1179428,1440871,1590353,8557718,0,39313,123893,102034,130625,25119,420984,2202120,2202120,2202120,2263290,2263290,2263290,13396230,1,1,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,2,1,3,1,3,4,0,12,0,0,0,0,0,0,0,2,5,1,6,5,0,19
Ara+1_30000gen_10450.gd,Ara+1_30000gen_10450,LTEE,Ara+1,30000,A,91,27,16,11,0,2,1,34,0,0,33,311564,254311,4465410,4629812,4,17,0,0,1,5,2,30,2,0,0,2,7,0,0,283078,283078,283078,200334,200334,200334,1450236,980,980,980,1205,1205,1205,6555,30249,30249,30249,28535,28535,28535,176352,611026,252955,289186,751754,461720,417744,2784385,1276787,1595545,1474734,1179428,1440871,1590353,8557718,0,39313,123893,102034,130625,25119,420984,2202120,2202120,2202120,2263290,2263290,2263290,13396230,1,1,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,0,0,4,2,6,2,3,4,0,17,0,0,0,0,0,0,0,3,8,3,8,5,0,27
Ara+1_30000gen_10451.gd,Ara+1_30000gen_10451,LTEE,Ara+1,30000,B,87,28,14,14,0,2,1,28,0,0,34,349453,257018,4465410,4629812,3,18,0,0,2,5,1,26,1,0,0,3,8,0,0,283078,283078,283078,200334,200334,200334,1450236,980,980,980,1205,1205,1205,6555,30249,30249,30249,28535,28535,28535,176352,611026,252955,289186,751754,461720,417744,2784385,1276787,1595545,1474734,1179428,1440871,1590353,8557718,0,39313,123893,102034,130625,25119,420984,2202120,2202120,2202120,2263290,2263290,2263290,13396230,1,1,0,2,1,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,2,0,0,3,2,5,2,3,6,0,18,0,0,0,0,0,0,0,3,8,2,8,7,0,28
Ara+1_40000gen_11008.gd,Ara+1_40000gen_11008,LTEE,Ara+1,40000,A,104,33,18,14,0,2,1,36,0,0,39,312822,257201,4465410,4629812,5,21,0,0,1,6,2,32,2,0,0,2,9,0,0,283078,283078,283078,200334,200334,200334,1450236,980,980,980,1205,1205,1205,6555,30249,30249,30249,28535,28535,28535,176352,611026,252955,289186,751754,461720,417744,2784385,1276787,1595545,1474734,1179428,1440871,1590353,8557718,0,39313,123893,102034,130625,25119,420984,2202120,2202120,2202120,2263290,2263290,2263290,13396230,1,1,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,4,0,0,5,2,8,3,3,5,0,21,0,0,0,0,0,0,0,3,10,3,10,7,0,33
Ara+1_40000gen_11009.gd,Ara+1_40000gen_11009,LTEE,Ara+1,40000,B,108,31,19,15,0,4,1,37,0,1,40,378661,367480,4465410,4629812,6,19,1,0,1,4,4,32,1,0,0,5,8,0,0,283078,283078,283078,200334,200334,200334,1450236,980,980,980,1205,1205,1205,6555,30249,30249,30249,28535,28535,28535,176352,611026,252955,289186,751754,461720,417744,2784385,1276787,1595545,1474734,1179428,1440871,1590353,8557718,0,39313,123893,102034,130625,25119,420984,2202120,2202120,2202120,2263290,2263290,2263290,13396230,1,1,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,2,1,0,6,4,4,1,4,5,1,19,0,0,0,0,1,0,1,5,8,1,8,8,1,31
